csv-epoch,csv-train_loss_step,step,csv-val_loss_step,csv-val_loss_epoch
0,2.664057493209839,0,,
0,2.3045966625213623,1,,
0,2.421818971633911,2,,
0,2.117053747177124,3,,
0,2.2051663398742676,4,,
0,2.312877655029297,5,,
0,1.886946201324463,6,,
0,1.9612685441970825,7,,
0,1.8356939554214478,8,,
0,1.9206836223602295,9,,
0,1.6706572771072388,10,,
0,1.6897464990615845,11,,
0,1.6503649950027466,12,,
0,1.5582014322280884,13,,
0,1.5658483505249023,14,,
0,1.6833608150482178,15,,
0,1.4188424348831177,16,,
0,1.551038146018982,17,,
0,1.4422346353530884,18,,
0,1.517709493637085,19,,
,,0,1.103718638420105,
,,1,1.1249685287475586,
,,2,0.9149081110954285,
0,,19,,1.0828537940979004
