step,csv-train_loss_step,csv-epoch
0,2.9794671535491943,0
1,2.796125888824463,0
2,2.9496378898620605,0
3,4.710572242736816,0
4,2.470151901245117,0
5,3.262413501739502,0
6,2.2735092639923096,0
7,3.218277931213379,0
8,2.2898781299591064,0
9,1.7101155519485474,0
10,2.621304512023926,0
11,2.192434787750244,0
12,3.1544437408447266,0
13,2.222369909286499,0
14,2.3577966690063477,0
15,2.43050217628479,0
16,2.966864824295044,0
17,2.2565016746520996,0
18,2.2336843013763428,0
